monitoringlocationid,monitoringlocationname,monitoringlocationlatitude,monitoringlocationlongitude,count,mean,median,min,max
6008306102,"Cold Creek : At King Rd,  20M E. Of Alb-Vghn Twnin",43.88910214,-79.71338886,28,68.82706785714285,7.24,0.0014,502.0
6008310002,Humber River : At Steeles Ave,43.76247651,-79.57969848,25,2368.880808,1.8,0.0002,34000.0
6008310102,Humber River : At Lawrence Ave,43.69899051,-79.52076611,24,2474.7653625,4.98,0.0007,34000.0
6008310202,"Humber River : Humber Marsh, ,0.75 Km Upstream Of The Queenswa",43.63735601,-79.47714711,399,410.41534874686715,12.9,-0.45,34000.0
6008310302,Humber River 83103,43.75823701,-79.67843886,2034,246.30930678466078,18.605,0.0,21600.0
6008310302,"Humber River West : Reg Rd 107,  W. Of Mcvean Drive,Upstream Clairevill",43.75823701,-79.67843886,5202,121.70397621972317,8.14,-34.4,9722.0
6008310402,"Centreville Creek : E. Of Humber Station Rd,  Albion Hills Ca,At Gaug",43.92418126,-79.83452048,5192,75.64524317392141,5.9,-16.7,5940.0
6008310402,Humber River 83104,43.92418127,-79.83452048,2062,122.05366159068865,13.815000000000001,0.0,1930.0
6008500102,Don River : Lakeshore Road Toronto,43.65075276,-79.34726573,10342,184.66795207890158,5.6,0.0,20654.0
6008500202,Don River West : Sheppard Ave Toronto,43.75729014,-79.42999161,3829,175.2080679028467,7.4,0.0,16784.0
6008500302,Don River 85003,43.80312626,-79.39687998,4030,252.67037556104216,12.45,0.0,18460.0
6008500302,Don River East : Bayview And Steeles Ave Toronto,43.80312626,-79.39687998,4526,145.06919253203714,5.8,0.0,3380.0
6008500402,Don River 85004,43.80386488,-79.48313111,4076,331.96452508905793,10.2,0.0,12230.0
6008500402,Don River West : Highway 7 West Of Concord,43.80386489,-79.48313111,4185,169.61929197132616,7.0,-4.19,20327.0
6008500502,German Mills Creek : 16Th.Ave.Dnstr.From Richmond Hill Stp,43.85432614,-79.42789686,3702,380.13875086439765,8.27,0.0,50654.0
6008500602,German Mills Creek : At Elmwood,43.87131189,-79.42806148,220,2071.8095454545455,18.0,0.01,30163.0
6008500702,German Mills Creek : At Richmond Hill,43.87210464,-79.42866536,68,1390.1273529411765,24.5,0.12,21961.0
6008500802,German Mills Creek : At Markham Road Richmond Hill,43.87305426,-79.42922723,29,955.8268965517241,1438.0,0.04,2418.0
6008500902,German Mills Creek : At Roseview Ave Richmond Hill,43.87536589,-79.42948373,188,342.9112234042553,1.1,0.01,2866.0
6008501002,German Mills Creek : At Observatory Lane Richmond Hill,43.85916251,-79.43088748,320,1707.6775312500001,16.45,0.01,21961.0
6008501102,German Mills Creek : At Bayview Ave Upstream From Highway 7,43.84658714,-79.40822573,175,1643.4036,14.8,0.03,30817.0
6008501202,German Mills Creek : At Carters Construction,43.85565126,-79.42852473,102,1740.0883333333334,14.5,0.04,22451.0
6008501302,Don River : Bayview Exit From Don Valley Parkway,43.68031214,-79.36559623,3732,189.30154892818865,5.65,0.0,6500.0
6008501402,Don River 85014,43.68847164,-79.36213573,826,496.8976343825666,21.450000000000003,0.0,10747.0
6008501402,"Don River : Pottery Rd,  Toronto",43.68847164,-79.36213573,26397,428.26037462808654,4.2,-164.0,680000.0
6008501802,Don River : Queen Street Bridge,43.65787626,-79.35429323,450,1401.8275494,13.75,-1.17,160000.0
6009400102,Highland Creek : Downstream From Highland Stp,43.76712551,-79.14515148,1957,622.7363648441493,18.0,0.0,31961.0
6009400202,Highland Creek 94002,43.77987688,-79.16791573,4081,269.71498989561377,10.4,0.0,16040.0
6009400202,Highland Creek : Highland Creek Park West Hill,43.77987689,-79.16791573,4985,178.5240036108325,3.2,-2.58,9680.0
6009700102,Rouge River : At Railroad Trestle Fergussons Beach,43.79449351,-79.11816873,1840,101.66300380434782,5.0,0.0,930.0
6009700202,Rouge River : Highway 48 Markham,43.86875926,-79.25865423,4334,107.47842436548223,5.0,0.0,2560.0
6009700302,Rouge River 97003,43.85845525,-79.23324823,1458,177.3125450617284,9.93,0.0,5772.0
6009700302,Rouge River 97003,43.8593179,-79.20483971,2591,197.63889394094946,12.8,0.0,11000.0
6009700302,"Rouge River : Box Grove, Town Of Markham",43.85845639,-79.23325336,4599,111.2349890845836,6.0,0.0,2260.0
6009700502,"Rouge River : Highway 2,  1Mile West Of Rouge Hill",43.80650751,-79.13385848,4560,98.86549127192983,5.0,0.0,8983.0
6009700602,"Little Rouge Creek : Steeles Ave E,  W. Of Reesor Rd, ,Se Of Markha",43.84830939,-79.20008461,3415,73.88057944363104,3.2,0.0,1630.0
6009700702,"Little Rouge Creek : Reesor Rd,  N. Of Steeles Ave, ,E. Of Markha",43.85933039,-79.20441686,748,81.4270628342246,2.25,0.0,750.0
6009700702,Rouge River 97007,43.85933039,-79.20441686,3769,129.97273099867337,10.0,0.0,20100.0
6009700802,Little Rouge Creek : Highway 7 Locust Hill,43.88597364,-79.20286686,1159,80.73920621225194,2.41,0.0,740.0
6009700902,"Little Rouge Creek : Hwy 48,  N. Of Major Mackenzie Dr,N. Of Markha",43.91988964,-79.27052161,729,82.81111385459533,2.6,0.0,720.0
6009701002,"Little Rouge Creek : Meadowvale Rd,  N. Of Old Finch Ave, ,Rouge Par",43.83038164,-79.18047236,452,80.92773230088495,2.7,0.0,760.0
6009701102,Rouge River 97011,43.81085852,-79.15978098,839,371.76752920143025,50.0,0.0,4840.0
6009701102,"Rouge River : Twyn Rivers Dr,  Scarborough",43.81085851,-79.15978098,11079,127.1565481630111,7.2,-117.0,6630.0
6009701202,Rouge River : At Sewell Road North Of Finch Avenue,43.82751126,-79.19965148,3115,90.4189969823435,5.0,0.0,2110.0
6009701302,Little Rouge Creek : Twin Rivers Drive Scarborough,43.81368114,-79.15676461,4275,97.47228100350877,7.4,-5.82,2736.0
6009701302,Rouge River 97013,43.81368114,-79.15676461,3912,133.89020248261758,10.555,0.0,6500.0
6009701402,Rouge River : At Steeles Ave West Of 9Th Line,43.84209651,-79.22776611,1351,104.24811021465582,7.39,-40.0,1460.0
6009701502,"Little Rouge Creek : 14Th Ave,  E. Of Reesor Rd, ,E. Of Markha",43.86861989,-79.19533311,336,75.55361309523809,2.45,0.0,740.0
6009701602,"Little Rouge Creek : Reesor Rd, N. Of 16Th Ave",43.90810764,-79.21636473,365,73.69584657534247,2.6,0.0,730.0
6009701702,"Little Rouge Creek : 9Th Ln,  N. Of 16Th Ave, ,N. Of Markha",43.91091389,-79.24298098,356,74.96581460674157,2.5,0.0,740.0
6009701802,"Bruce Creek : Major Mackenzie Dr,  W. Of Kennedy Rd.",43.89673301,-79.32307036,5126,90.37149655735466,7.109999999999999,-780.0,11600.0
6009701802,Rouge River 97018,43.89673301,-79.32307036,1868,139.89036006423984,13.89,0.0,1950.0
6009900102,Petticoat Creek : On Finch West Of Sideline 32,43.83429289,-79.14780061,368,97.24702717391305,2.0,0.001,850.0
6010400802,Duffins Creek 104008,43.96144701,-79.12565398,1723,130.65169077190944,13.7,0.0,9720.0
6010400802,"Mitchell Creek : Brock Rd,  Between Conc 8 And 9,S. Of Claremon",43.96144701,-79.12565398,5825,79.30022084412018,7.0,-649.0,6321.0
6010400902,"West Duffins Creek : Whites Rd,  Clarkes Hollow",43.87131789,-79.13304098,1273,78.41181437549098,3.0,0.0,1157.0
6010401002,West Duffins Creek : Highway 7 Green River,43.90173839,-79.18111536,1282,73.6926569422777,1.8,0.0,674.0
6010401102,Stouffville Creek : Downstream Stouffville Stp.,43.96726664,-79.24266973,4766,107.00544993705414,5.85,0.0,2240.0
6010401202,"Stouffville Creek : Bethesda Rd,  N. Of Stouffville",43.98911664,-79.25397936,3650,83.61606312328767,7.5,0.0,10700.0
6010401402,"West Duffins Creek : Sideline 32,  N. Of Hwy 7",43.91576289,-79.17945686,671,66.24924828614009,1.6,0.0001,560.0
6010401502,"Reesor Creek : Sideline 34,  225M S. Of Conc 8, ,W. Of Atha Roa",43.93562801,-79.20092098,3049,104.64646592325353,4.1,-15.0,3495.0
6010401602,"Reesor Creek : Conc 9,  E Of Sideline 34, ,Se Of Stouffvill",43.95440576,-79.20783273,2835,89.91050486772487,6.2,0.0,1091.0
6010401702,"West Duffins Creek : Conc 9,  E. Of Sideline 30, ,N. Of Atha Roa",43.95863664,-79.18909711,404,59.0777646039604,1.8,0.0002,510.0
6010401802,"Wixon Creek : Conc 9,  W. Of Sideline 28, ,N. Of Atha Roa",43.96030314,-79.18168036,393,68.90436666666666,1.8,0.0002,510.0
6010401902,"West Duffins Creek : Railroad Bridge Off Conc 3 And,Dixie R",43.86264139,-79.11045936,374,78.0554385026738,2.3,0.0,820.0
6010402002,"West Duffins Creek : Uxbridge-Pickering Townline, ,E. Of Alton",43.97642564,-79.19599973,490,62.74271510204082,1.8,0.0005,500.0
6010402102,"Wixon Creek : Uxbridge-Pickering Townline, ,E. Of Sideline 2",43.98099376,-79.17578686,490,69.22242489795919,1.35,0.0002,495.0
6010403002,"Mitchell Creek : From Dead End Of Conc 8, ,E. Of Brock R",43.95976801,-79.10396836,369,68.67736964769648,1.5,0.0001,570.0
6010403302,"Mitchell Creek Tributary : Of Sideline 22,  W. Of Claremont",43.97252726,-79.15650298,28,13.028571428571428,12.55,0.0,26.0
6010403402,"West Duffins Creek : Sideline 30,  1Km N. Of Conc 9",43.96774889,-79.19336861,360,62.34502694444444,1.55,0.0002,465.0
6010403502,"West Duffins Creek : Altona Dam,  S. Of Pickering-,Uxbridge Townlin",43.97384564,-79.19369036,26,12.534615384615384,11.35,3.2,23.0
6010403602,West Duffins Creek : Webb Rd. Glasgow,43.99471301,-79.20043436,376,62.081315159574466,1.8,0.001,530.0
6010403702,Duffins Creek 104037,43.93716151,-79.20343036,3773,119.0569525303472,9.61,0.0,5270.0
6010403702,"Reesor Creek : Conc 8,  W. Of Sideline 34,W. Of Atha Roa",43.93716151,-79.20343036,340,88.33591294117647,2.8499999999999996,0.0,992.0
6010403802,"West Duffins Creek : Conc 8,  W Of Sideline 28,  Atha Road",43.94361114,-79.17495586,477,64.74581572327044,1.4,0.0001,485.0
6010404002,"West Duffins Creek : Conc 7 At North Rd,  Ne Of Green River",43.92406451,-79.17271511,341,66.98489853372433,1.59,0.0002,495.0
6010404102,"West Duffins Creek Tributary : North Rd,  S. Of Con 7,  Ne Of Green River",43.92096926,-79.17104273,346,79.16097803468209,1.7,0.001,640.0
6010404202,"Reesor Creek : Conc 7,  W Of Cpr Tracks,  E. Of,Sideline 3",43.92009964,-79.18883473,476,87.1849424369748,2.5,0.0,840.0
6010404302,"West Duffins Creek : Whitevale Rd,  Whitevale",43.88734989,-79.16204811,495,71.85877616161616,2.2,0.0,590.0
6010404402,"West Duffins Creek : Whitevale Dam,  N. Of Whitevale Rd",43.89084264,-79.16770486,28,13.25357142857143,12.85,3.0,25.0
6010404502,"West Duffins Creek : W. Off Golf Club Rd,  S. Of Whitevale",43.88143639,-79.15307836,264,72.31545075757575,2.5,0.0,600.0
6010404702,"Urfe Creek : Hwy 7 At Sideline 20,  W. Of Brougham",43.91709389,-79.11324861,154,79.25932142857143,2.26,-0.38,900.0
6010404802,"Brougham Creek : Hwy 7,  100M W. Of Brock Rd,  Brougham",43.91841314,-79.10794948,172,75.44944767441861,1.95,-1.11,800.0
6010404902,"Ganateskiagon Creek : Hwy 7,  W. Of Sideline 24,  W. Of Brougham",43.91149951,-79.13896711,126,66.1798015873016,2.0,-7.86,750.0
6010405002,"Brougham Creek : Brock Rd.S Of Highway 7,  Brougham",43.91634876,-79.10550161,63,137.8453492063492,7.1,0.005,2500.0
6010405702,"Urfe Creek : Whitevale Rd,  W Of Brock Rd, ,S. Of Brougha",43.90143489,-79.10019611,103,74.04847572815534,7.0,-2.72,630.0
6010405902,"Stouffville Creek : York-Durham Ln,  Se Of Stouffville",43.94653801,-79.21133686,62,111.6223064516129,5.13,0.0012,1070.0
6010406002,"Stouffville Creek : Reesor Rd,  S Of Stouffville",43.95068514,-79.22649673,36,90.4394388888889,5.050000000000001,0.0018,962.0
6010406102,"Stouffville Creek : 19Th Ave,  S. Of Stouffville",43.95543464,-79.23212173,68,99.89154852941176,4.9350000000000005,0.0016,1080.0
6010406202,"Stouffville Creek : Main St,  Upstream Stp,  Stouffville",43.97112351,-79.24791511,62,52.43166612903226,3.0300000000000002,0.001,461.0
6010406302,"Stouffville Creek : Millard St,  Outlet Of Stouffville,Reservoi",43.97700614,-79.24995311,30,37.90613333333333,6.5,0.004,308.0
6010406402,"Ressor Creek : York Durham Line,  Stouffville",43.97820351,-79.22248386,56,58.039696428571425,7.135,0.0012,456.0
6010406502,"Ressor Creek : Uxbridge Pickering Townline, ,E. Of Stouffvill",43.97297014,-79.21111998,55,64.73358181818182,8.22,0.007,488.0
6010406602,"Michell Creek : Conc 9,  E. Of Sideline 20, ,Claremon",43.97055789,-79.13666386,26,75.81230769230768,7.9,0.02,511.0
6010406702,"Duffins Creek Tributary : Sideline 14,  1Km N. Of Con 9, ,W. Of Claremon",43.98526039,-79.11442711,27,62.052592592592596,7.58,0.01,444.0
6010406802,"Wixon Creek Tributary : Uxbridge-Pickering Townline, ,E. Of Conc",43.98242901,-79.16958298,57,58.564729824561404,6.12,0.0016,452.0
6010406902,"Mitchell Creek Tributary : Uxbridge-Pickering Townline, ,450M E. Of Sideline 2",43.98423526,-79.16186498,25,79.98692,8.0,0.003,511.0
6010407002,"Mitchell Creek Tributary : Uxbridge-Pickering Townline, ,500M E. Of Sideline 2",43.98885789,-79.14187961,26,72.84384615384616,5.24,0.01,492.0
6010407102,"Mitchell Creek Tributary : Uxbridge-Pickering Townline, ,350M W. Of Brock R",43.99081801,-79.13349898,28,66.68035714285715,6.0,0.02,481.0
6010407202,"Duffins Creek Tributary : Uxbridge-Pickering Townline, ,1.1Km E. Of Brock R",43.99477551,-79.11663086,29,65.22846551724137,5.0,0.0018,499.0
6010407302,Seep To Trib. Duffins Ck. : At Ux-Pkg Twnin 1100M E.,44.00281001,-79.11566186,27,73.36657037037037,7.9,0.0014,493.0
6010407902,"Trib To Michell Ck : At Durham 5,  300M W. Of S/1 20",43.96878014,-79.14406261,27,77.3617111111111,5.38,0.0012,522.0
6010408002,"Ressor Ck : York-Durham Ln And Bethesda Rd.,W. Of Glasgo",43.99441626,-79.22958111,26,77.34884615384615,7.64,0.01,527.0
6010408102,"Mitchell Creek Tributary : Sideline 20,  1.1Km S. Of Con 9, ,Sw Of Claremon",43.95999951,-79.13595723,28,75.64357142857143,7.68,0.01,540.0
6010408202,"Michell Ck. : Sideline 20,  650M S. Of Conc 9, ,Sw Of Claremon",43.96402876,-79.13771936,27,70.91666666666667,7.36,0.01,506.0
6010408602,"West Duffins Creek Tributary : Markham Pickering Townline, ,Nw Of Green Rive",43.90775239,-79.19374511,27,97.53033333333333,5.64,0.009,759.0
6010408902,"Wixon Creek : Conc 3,  N. Of Uxbridge-Pickering,Townlin",43.98426739,-79.17408661,24,74.48102083333333,4.98,0.0045,478.0
6010409002,"Urfe Creek : Whitevale Rd,  400M W. Of Brock Rd, ,S. Of Brougha",43.90096251,-79.10226048,67,77.8395671641791,8.21,-1.05,572.0
6010409702,Trib. To W. Duffins Cr. : 150M Nw Of Taunton Rd.,43.87450889,-79.13458023,23,80.7524956521739,8.45,0.0014,488.0
6010409802,"Trib. To W. Duffins Cr. : E. Of Golf Course,  Upstr.",43.87527476,-79.13745311,24,80.78264583333333,7.6,0.0055,517.0
6010410002,Mitchell Creek : @ Hoxton St. 225M W. Of Old Brock Rd.,43.98342726,-79.13448873,28,65.73803571428572,6.2,0.005,477.0
6010410302,Wixon Creek : W.Branch 100M N. Of Pick-Ux Twnin,43.98173414,-79.17618773,25,79.56076,6.36,0.009,522.0
6010410402,Seep At Scarp : 500M Upstr. Of Train Bridge Near Dixie,43.86324614,-79.11681973,27,95.9093962962963,6.98,0.0012,600.0
6010410502,Seep At Scarp : 800M Upstr. Of Train Bridge Near Dixie,43.86633476,-79.11721761,26,62.35876923076923,9.84,0.008,394.0
6010410602,Seep At Scarp : At Golf Course Upstr Of Clarkes Hollow,43.87390139,-79.14161723,25,82.9708,8.14,0.01,539.0
6010410702,"Seep At Scarp : Upstr. End,  Clarkes Hollow,  N. Side",43.87303914,-79.13884236,26,80.56513461538461,6.6,0.0035,529.0
6010410802,Stouffville : Wpcp Outflow,43.96713451,-79.24263423,30,143.65992666666668,1.76,0.0014,1390.0
6010410902,Seep At Scarp : 50M S. Of Clarke'S Hollow,43.87125101,-79.13149986,25,71.9648,8.28,0.02,430.0
6010411202,Wixon Creek : At Webb Road,44.00140526,-79.17084523,24,97.30327083333333,9.05,0.0085,580.0
6010411302,West Duffins Creek : At Conc 3,44.01207976,-79.18569348,55,56.84957090909091,5.76,0.0014,442.0
6010411402,"Trib To West Duffins : At Secord Road.,  300M East",44.01555276,-79.18666673,28,74.61216071428571,7.17,0.004,557.0
6010411802,Dug Well : House At Entrance To Secord'S Point,44.01595886,-79.18260669,4,0.5775,0.06999999999999999,0.01,2.16
6010411902,Se Tributary To Secord'S Pond : 100M Upstream,44.01603914,-79.17682186,26,61.27192307692307,4.09,0.004,430.0
6010412002,Duffins : Nw Tributary To Secord'S Pond,44.01842064,-79.17917198,23,77.56019565217392,8.41,0.0045,480.0
6010412102,Small Trib To Secord'S Pond : Near Se Tributary,44.01559889,-79.17782548,27,63.63342592592593,4.8,0.0025,458.0
68B,Lake Ontario,43.5836,-79.4161,24,27.529862500000004,4.1,0.0037,300.6
6953-1,"CLARKE LAKE (NL) WHITCHURCH-STOUFFVILLE Main Basin, deep spot 1",43.9667,-79.3667,10,1.45,1.2999999999999998,1.0,2.2
6998-1,"MUSSELMANS LAKE WHITCHURCH-STOUFFVILLE Mid Lake, deep spot 1",44.0306,-79.2736,23,6.48695652173913,4.0,1.0,31.6
7,Lake Ontario,43.547,-79.488,327,35.41167857798165,2.7,0.0009,361.0
7006-2,"PRESTON LAKE WHITCHURCH-STOUFFVILLE Main Stn, deep spot 2",43.9856,-79.3789,161,11.856521739130436,11.8,1.2,43.7
7034-1,"WILCOX LAKE RICHMOND HILL Mid Lake, deep spot 1",43.9492,-79.4356,31,2.2483870967741937,2.1,0.7,3.9
7034-2,WILCOX LAKE RICHMOND HILL Outlet 2,43.9469,-79.44,273,24.36886446886447,18.2,0.5,194.0
7050-1,CLAIREVILLE RESERVOIR BRAMPTON S end Middle of Dam 1,43.7372,-79.6322,3,0.39999999999999997,0.4,0.3,0.5
7050-2,CLAIREVILLE RESERVOIR BRAMPTON N end Main Stn 2,43.7425,-79.6356,9,0.47777777777777775,0.4,0.3,0.8
7057-1,"EATON LAKE (SENECA) KING Mid Lake, deep spot 1",43.9586,-79.5183,195,19.034358974358973,18.6,2.0,71.2
7062-1,G ROSS LORD RESERVOIR NORTH YORK Deep spot 1,43.7725,-79.4647,10,0.42000000000000004,0.4,0.3,0.6
7065-1,GRENADIER POND TORONTO Inlet 1,43.6333,-79.4667,7,60.0,61.9,41.8,82.0
7065-3,"GRENADIER POND TORONTO S end, deep spot 3",43.6408,-79.4661,261,54.39885057471265,49.0,0.0,474.0
7065-5,"GRENADIER POND TORONTO Main Basin, deep spot 5",43.6333,-79.4667,10,1.6800000000000002,1.1,0.5,4.5
7068-1,HEART LAKE BRAMPTON Beside Aerator 1,43.7333,-79.7833,4,13.049999999999999,3.2,2.5,43.3
7103-1,ONTARIO LAKE HILLIER Scarborough Bluffs 1,43.705,-79.2336,4,25.4,26.15,18.1,31.2
7103-2,ONTARIO LAKE HILLIER Toronto Harb Eastern Gap 2,43.655,-79.3089,1,2.5,2.5,2.5,2.5
7105-1,"PALGRAVE MILL POND CALEDON Mid Lake, deep spot 1",43.9528,-79.8389,2,1.05,1.05,0.9,1.2
7116-1,"SIMOEN LAKE WHITCHURCH-STOUFFVILLE Mid Lake, deep spot 1",43.9667,-79.3833,5,4.14,3.8,3.3,5.5
7123-1,"ST. GEORGE LAKE WHITCHURCH-STOUFFVILLE Main Basin, deep spot 1",43.9564,-79.425,43,19.302325581395348,11.7,2.0,201.0
7180-1,"GIBSON LAKE CALEDON Mid Lake, deep spot 1",43.9558,-79.825,2,26.05,26.05,25.6,26.5
7239-1,"MARY LAKE KING Mid Lake, deep spot 1",43.9522,-79.5461,177,17.29265536723164,15.5,2.0,52.1
725,Lake Ontario,43.638,-79.362,907,36.23932431753032,2.0,0.0005,632.0
726,Lake Ontario,43.632,-79.379,436,39.37428856651376,3.1,0.0008,807.0
737,Lake Ontario,43.6086,-79.4303,12,2.235625,0.11510000000000001,0.0016,22.6
738,Lake Ontario,43.5639,-79.3867,12,2.12923325,0.10295,0.0015,21.799999
750,Lake Ontario,43.5539,-79.5353,12,2.5018333333333334,0.12105,0.0017,22.0
7569-1,ISLAND LAKE (RESERVOIR) LUTHER Deep spot (larger west bay) 1,43.9342,-80.0878,3,21.333333333333332,17.0,12.6,34.4
7573-1,"BOND LAKE RICHMOND HILL Mid lake, deep spot 1",43.9333,-79.4486,60,31.273333333333333,25.65,2.2,98.0
7578-1,HAYNES LAKE WHITCHURCH-STOUFFVILLE Deep spot 1,43.9589,-79.4078,35,38.0,15.4,10.2,206.0
8,Lake Ontario,43.623,-79.453,1111,30.16917012781278,1.7,0.0002,400.0
814,Mountsberg Creek,43.53333,-80.075,2,20.5,20.5,19.0,22.0
816,Sixteen Mile Creek,43.53889,-79.78611,8,126.0,21.05,9.0,400.0
819,Credit River,43.5475,-79.58083,137,126.07956204379563,21.0,5.0,1500.0
821,Credit River,43.55,-79.66389,8,210.9125,20.5,8.0,825.0
822,Credit River,43.55194,-79.59361,2,27.0,27.0,27.0,27.0
825,Sixteen Mile Creek,43.55278,-79.85,8,119.1625,20.2,9.0,400.0
826,Credit River,43.55278,-79.63056,8,120.3375,19.0,7.6,425.0
827,Credit River,43.55333,-79.60056,2,27.0,27.0,27.0,27.0
828,Credit River,43.55472,-79.60139,2,23.5,23.5,22.0,25.0
829,Sixteen Mile Creek,43.55556,-79.82222,8,139.75,33.25,7.4,500.0
830,Credit River,43.55556,-79.69722,8,130.725,21.75,2.0,500.0
831,Credit River,43.55556,-79.68333,8,132.1875,65.25,8.1,400.0
832,Credit River,43.55556,-79.66389,8,115.775,19.75,8.7,400.0
833,Credit River,43.55556,-79.60833,8,263.35,19.0,0.0,999.9
837,Sixteen Mile Creek,43.55833,-80.00278,8,98.4875,20.8,5.0,300.0
838,Sixteen Mile Creek,43.55833,-79.89722,8,136.61249999999998,23.6,9.0,500.0
840,Sixteen Mile Creek,43.56667,-79.95278,8,138.05,31.1,8.5,500.0
847,Sixteen Mile Creek,43.58333,-79.84444,8,137.4125,25.8,7.6,500.0
848,Etobicoke Creek,43.58472,-79.54167,3,336.3333333333333,9.0,0.0,1000.0
852,Etobicoke Creek,43.58889,-79.55833,8,214.1375,19.0,5.0,900.0
853,Sixteen Mile Creek,43.59444,-79.95,8,159.7125,23.549999999999997,9.0,600.0
857,Credit River,43.60556,-79.725,8,144.67499999999998,41.75,7.7,525.0
858,Etobicoke Creek,43.60556,-79.56111,8,183.55,23.0,5.0,750.0
863,Credit River,43.61944,-79.74167,8,149.175,24.5,6.9,600.0
864,Eramosa River,43.62194,-80.14417,2,21.0,21.0,20.0,22.0
868,Credit River,43.62778,-79.73611,8,137.6625,25.0,8.3,525.0
869,Eramosa River,43.62917,-80.14306,2,21.5,21.5,21.0,22.0
870,Etobicoke Creek,43.63056,-79.57222,8,162.0125,22.5,6.5,650.0
871,Rouge River,43.63111,-79.12444,2,24.0,24.0,21.0,27.0
872,Humber River,43.63139,-79.47333,3,21.0,23.0,16.0,24.0
873,Black Creek,43.63333,-79.98056,8,216.4125,20.25,6.0,800.0
874,Fletchers Creek,43.63333,-79.71667,2,22.5,22.5,20.0,25.0
875,Black Creek,43.63611,-80.04167,8,104.025,17.0,7.4,350.0
876,Humber River,43.63611,-79.47694,2,11.0,11.0,11.0,11.0
877,Humber River,43.63806,-79.47972,2,6.0,6.0,3.0,9.0
878,Humber River,43.64,-79.48528,2,6.0,6.0,3.0,9.0
880,Credit River,43.64167,-79.76389,8,141.1,25.0,7.6,500.0
885,Black Creek,43.64722,-79.91944,8,194.1125,18.0,9.0,700.0
886,Credit River,43.64722,-79.825,8,144.2625,27.75,7.1,500.0
888,Credit River,43.65278,-79.80278,8,156.8375,21.0,7.7,600.0
892,Credit River,43.65833,-79.875,8,211.14499999999998,35.5,0.76,825.0
896,Eramosa River,43.66361,-80.15917,2,20.0,20.0,19.0,21.0
899,Etobicoke Creek,43.66667,-79.63889,8,153.3375,22.5,5.0,600.0
8th Concession,Duffins Creek 104037,43.93716147,-79.20343041,150,150.334436,12.845,0.01,1302.0
9,Lake Ontario,43.587,-79.395,536,35.47373576119403,2.0,0.0004,358.0
903,Credit River,43.66944,-79.91111,8,148.5625,25.5,7.8,525.0
904,Etobicoke Creek,43.66944,-79.73611,8,151.9625,45.0,6.5,550.0
907,Fletchers Creek,43.675,-79.75833,2,25.0,25.0,22.0,28.0
916,Lutteral Creek,43.69167,-80.17778,8,146.3375,23.0,8.5,500.0
917,Credit River,43.69167,-79.93056,8,129.1125,26.5,8.3,450.0
920,Credit River,43.71667,-79.93889,8,125.2625,23.5,7.2,450.0
922,Credit River,43.72222,-79.94167,8,125.2625,55.0,7.5,425.0
923,Credit River,43.72222,-79.93333,8,128.125,26.5,7.1,475.0
925,Credit River,43.725,-79.94167,8,116.27499999999999,33.5,6.9,400.0
930,Credit River,43.73889,-79.93333,8,139.675,23.5,6.9,500.0
932,Etobicoke Creek,43.74167,-79.82222,8,145.9125,22.0,2.0,500.0
934,West Humber River,43.75,-79.75556,8,149.275,14.35,8.9,460.0
936,Credit River,43.75556,-79.92778,8,140.8625,21.5,7.0,500.0
9361,Mill Creek:Bravery Park - Orangeville,43.9177243,-80.0953532,9,55.144444444444446,3.2,-7.0,300.0
938,West Humber River,43.76944,-79.725,8,155.375,14.8,8.0,500.0
939,Highland Creek,43.76944,-79.15278,2,23.5,23.5,22.0,25.0
940,Credit River,43.77222,-79.93889,7,132.28571428571428,20.0,7.7,400.0
941,Highland Creek,43.77278,-79.14306,4,15.75,15.0,9.0,24.0
942,Credit River (Erin Branch),43.77778,-80.15,8,126.475,17.25,5.0,450.0
943,Credit River (Erin Branch),43.77778,-80.09722,8,109.875,19.5,7.8,400.0
944,Credit River (Erin Branch),43.78056,-80.05556,8,136.6,24.75,5.0,500.0
946,Rouge River,43.78333,-79.11667,1,21.0,21.0,21.0,21.0
947,Highland Creek,43.78611,-79.18056,2,25.5,25.5,25.0,26.0
949,Credit River (Erin Branch),43.78889,-80.175,8,129.4875,19.5,8.0,450.0
950,Credit River (Erin Branch),43.78889,-80.11944,8,131.8375,27.0,7.4,500.0
951,Credit River (Erin Branch),43.78889,-80.11111,8,87.475,20.0,3.0,300.0
953,Credit River (Erin Branch),43.79167,-80.06389,8,138.025,28.5,8.6,500.0
954,Credit River,43.79167,-79.93889,8,138.3375,24.5,7.3,525.0
955,West Humber River,43.79167,-79.73611,8,159.6125,19.25,7.7,520.0
956,Rouge River,43.79444,-79.1175,2,25.0,25.0,24.0,26.0
9569,Lake Ontario:First Street Beach,43.6335669,-79.3541832,73,45.84479452054794,9.0,0.0,379.0
958,Highland Creek,43.8,-79.23611,6,56.333333333333336,11.6,1.0,284.1
959,Credit River (Erin Branch),43.80278,-80.13889,8,125.6,18.0,7.0,475.0
960,Credit River (Erin Branch),43.80278,-80.11944,8,134.7875,23.5,5.0,500.0
961,Credit River,43.80556,-80.00556,7,153.68571428571428,27.0,7.6,450.0
962,Petticoat Creek,43.80833,-79.10833,2,25.5,25.5,25.0,26.0
963,Little Credit River,43.81389,-79.93611,8,119.55,18.5,7.6,400.0
969,Credit River,43.81944,-79.97222,7,134.9142857142857,28.0,7.2,450.0
