monitoringlocationid,monitoringlocationname,monitoringlocationlatitude,monitoringlocationlongitude,count,mean,median,min,max
3007700402,Drainage Canal : S-E Conc.And Newmarket Townline,44.02686689,-79.60492286,4605,81.14724998914224,4.4,0.0,1760.0
3007700502,Drainage Canal : At N-S Rd.West Gwillimbury Township,44.03899051,-79.58362736,5058,104.65232014630288,4.95,0.0,1920.0
3007700602,Holland River : Mulock Drive Newmarket,44.04005851,-79.45936261,5575,121.60105852914799,6.6,0.0,5301.0
3007700702,"Aurora Creek : Yonge St N Of St. Andrew'S College,Auror",44.02220026,-79.47285473,11053,133.46060822021172,7.8,-19.3,10654.0
3007701602,Schomberg River : Second Road West Of Highway 400,44.02773839,-79.62021098,1181,106.31126079593565,4.1,0.0,1490.0
3007701702,Drainage Canal : Upstr.From Pumping Station N-W End,44.04822326,-79.61897523,4374,84.8122019661637,5.0,-40.0,6720.0
3007702402,Bogart Creek : 1St.Conc.Rd.S-E Of Pleasantville,44.03936101,-79.37760786,879,64.29430671217293,2.4,0.0,611.0
3007702902,"Holland River : Simcoe Cnty Rd 27,  N. Of Schomberg",44.01385739,-79.67910198,8217,83.60946092016552,6.0,-17.4,2040.0
3313,Lake ontario:Lake Ontario place- West Island beach,43.627458,-79.4208092,11,187.72727272727272,16.8,0.0,1414.0
349765,Western Creek,44.059877,-79.46210258,524,258.42114828244274,13.35,0.0081,5760.0
4544,Lake Ontario:Humber Bay West Park,43.61564,-79.47722,318,92.48558654347798,20.0,0.0,800.0
4546,Lake Ontario:Marina 4,43.63896,-79.38426,681,103.07800584951542,22.5,0.0,2419.6
4552,Lake Ontario:Ontario Place,43.6275,-79.42141,1181,96.74665506187553,17.5,0.0,4108.2
4555,Lake Ontario:Algonquin Bridge,43.62686,-79.35839,169,67.67730763857988,10.96499092,0.0,434.0
4890,Humber River:Etienne Brule Park,43.6456392,-79.493134,14,171.75,15.1,0.0,1215.0
4891,Humber River:Humber River at Magwood Sanctuary,43.6580001,-79.4992,140,213.00982142857143,10.6,-11.0,3540.0
5045,Eramosa River:Rockwood Conservation Area,43.6103214,-80.1443624,8,125.35,22.2,1.0,548.0
5344,Bristol Pond:Bristol Pond,44.0583186,-79.2282219,2,32.75,32.75,28.5,37.0
5523,Lake Ontario:Rees_Street_Slip,43.63835,-79.38726,664,85.71628849064759,20.0,0.0,2046.2
5582,Lake Ontario:Snake_Island,43.62296,-79.36419,5,49.474000000000004,16.97,2.0,120.0
5583,Lake Ontario:Snake_Island,43.62296,-79.36419,4,57.075,53.9,0.5,120.0
5584,Lake Ontario:Ward_Island,43.6319,-79.35715,5,45.910000000000004,21.0,0.75,120.0
6006300302,Middle Oakville Creek : Hwy.25 1.8 Miles South Of Scotch Block,43.55121489,-79.93637536,3664,67.78402613264193,4.05,-0.48,728.0
6006300402,Middle Oakville Creek : Hwy.25 0.9Miles South Of Scotch Block,43.56068401,-79.94910048,299,59.42716722408027,1.9,0.0,560.0
6006300502,Middle Oakville Creek : At Dam Scotch Block Reservoir,43.56520626,-79.94953548,710,63.16716901408451,2.0,0.0,640.0
6006300602,Middle Oakville Creek : At 3Rd.Conc.Road Twp.Of Esquesing,43.57605851,-79.94611211,213,62.66872769953052,0.85,0.0,640.0
6006300702,Middle Oakville Creek : At Conc.Rd.No.4 Twp.Of Esquesing,43.58967564,-79.94111398,1047,86.89736485195797,2.8,0.0,2755.0
6006301402,"Middle Oakville Creek : Steeles Ave.,  E. Of 5Th Ln,  Milton",43.55475226,-79.85686198,2222,93.15003270882087,8.44,-9.81,1470.0
6007600102,Credit River : At Highway 2,43.55076726,-79.58665698,1624,84.69238823891625,4.75,0.0,1150.0
6007600202,Credit River : Highway 5 Erindale,43.54317526,-79.65801098,8204,95.41647260482691,4.1,-45.0,17644.0
6007600302,Credit River : Highway 7 Norval,43.64721276,-79.85627811,16866,96.62925295955769,6.0,-17.5,13000.0
6007600402,Silver Creek : Highway 7 Norval,43.64635939,-79.86622286,17161,129.26396806476313,7.0,-71.3,32000.0
6007600502,"Black Creek : Churchill Rd,  At Acton Stp",43.62759439,-80.02209311,12659,131.478412375314,6.0,-26.9,51634.0
6007600602,"Credit River : Highway 10 Dnstr.Orangeville, ,1St Crossin",43.90965439,-80.06325348,29060,123.67332431697866,6.8,-29.9,10654.0
6007600702,Black Creek : At Credit River Branch Erin,43.7672495,-80.06072193,24,1.4995833333333335,1.2000000000000002,0.01,5.0
6007600802,"Black Creek : Glen Lawson Rd,  Upstrm Limehouse",43.62923289,-80.01039811,15646,141.56227406948102,6.25,-38.1,46000.0
6007600902,Credit River Erin Branch : At Dundas Street West Erin,43.77204389,-80.07335736,408,72.80104901960785,1.4,0.0,750.0
6007601002,"Credit River : Heritage Rd And King St,  Terra Cotta",43.72381351,-79.93099773,13764,84.5383349319384,6.880000000000001,-16.9,11000.0
6007601202,Silver Creek : At 8Th Line South Of 27 Side Road,43.67765539,-79.96372761,560,76.82085714285715,2.0,0.0,700.0
6007601302,"Credit River : Main St,  Glen Williams",43.66862101,-79.92696273,7934,98.1221005497227,8.17,-18.7,7355.0
6007601402,Credit River : At First Line North-West Of 34Th Side Rd,43.79308814,-79.92885336,657,70.66536656012177,4.7,-3.6,862.0
6007601502,"West Credit River : Winston Churchill Blvd,  Dwnstrm Erin",43.78373676,-80.03480098,12895,75.64846209180303,6.3,-23.7,6499.0
6007601602,"Fletcher'S Creek : Steeles Ave W, Brampton",43.65858539,-79.74145536,14916,237.60902986647895,7.35,-127.0,88000.0
6007601702,"Credit River : Old Derry Rd,  W. Of Hwy No 10",43.62214889,-79.73326498,14057,97.55539258685353,7.39,-18.1,8345.0
6007601802,"Credit River : Beachgrove Sideroad, E. Of Alton",43.85620614,-80.04821261,14573,91.5679917794277,5.51,-22.1,9187.0
6007601902,Credit River : Southern Dam Of Orangeville Reservoir,43.92715364,-80.08416673,18059,79.76183749456781,8.21,-9.71,18987.0
6007602002,Credit River : South Of Hwy.136 Below Orangeville Stp,43.91558126,-80.08324073,1434,117.58547217573222,5.0,0.0001,4695.0
6007602102,Orangeville Creek : At Highway 136 West Of Orangeville Stp,43.91713776,-80.08706586,98,122.5295,0.9750000000000001,0.002,990.0
6007602202,"Silver Creek : Mountainview Rd,  Georgetown",43.63747426,-79.88616561,13473,112.71809634673791,7.6,-21.6,13000.0
6007602302,"Credit River : Highpoint Sideroad,  Dwnstr,Dam At Melvill",43.88846164,-80.06330648,28906,124.88389452959248,7.98,-41.5,9748.0
6007602402,"Credit River : Hwy 10,  Dwnstr Orangeville, ,2Nd Crossin",43.90183089,-80.05252636,18119,130.1934812025443,8.0,-16.7,9318.0
6007602502,West Credit River : Lot 25 Con 9 Erin Township,43.81453551,-80.14275073,26,1.8137884615384616,0.24,0.003,22.0
6007602602,West Credit River : Lot 25 Con 8 Erin Township,43.79105996,-80.13901383,27,1.422962962962963,0.24,0.01,9.0
6007602702,West Credit River : Lot 24 Con 8 Erin Township,43.78718114,-80.14212373,11,1.1054545454545455,0.37,0.01,4.25
6007602802,"West Credit River : Upstr. Rd. 22 West Of Hwy 25,Erin Townshi",43.77923376,-80.13389386,12,1.0599999999999998,0.45999999999999996,0.01,3.97
6007602902,West Credit River : Hwy 25 Lot 21W Dnstr. Pond Erin Township,43.77100789,-80.12987473,20,79.99235,12.71,0.007,475.0
6007603002,West Credit River : Conc. 8 Upstr. Marsh Erin Township,43.77158739,-80.09006936,13,1.4106923076923077,0.61,0.009,6.0
6007603102,West Credit River : Upstr. Pond Erin Township,43.76966701,-80.06694736,8,1.75125,1.12,0.01,5.0
6007603202,"West Credit River : Hwy 24 Rd. Crossing Upstr.,Village Of Erin Er",43.76801714,-80.06092861,19,1.6626315789473685,0.48,0.01,7.0
6007603302,"West Credit River : Brisbane Esa Dnstr. Hwy 24,Junction Villag",43.76597439,-80.05744298,16,0.8516250000000001,0.155,0.006,5.3
6007603402,"West Credit River : Brisbane Esa Conc. 8 At Wy 24,Village Erin Eri",43.74908839,-80.05948098,10,2.584,1.21,0.12,9.0
6007603502,"West Credit River : Rd. 23 At Rd. 22 Alton Hills Wetland,Erin Townshi",43.79751051,-80.10607211,4,4.805,0.655,0.01,17.9
6007603602,West Credit River : Lot 20 Conc 8 Near Pond Erin Township,43.78012039,-80.10544211,16,1.77296875,0.46499999999999997,0.0025,7.2
6007603702,"West Credit River : Lot 21 Con 10 Dnstr. Wetland Dam,Erin Townshi",43.80544726,-80.08644261,21,1.2923809523809524,0.38,0.01,7.4
6007603802,"West Credit River : Binkham Esa Lot 19 Con 10,Erin Townshi",43.79555014,-80.07834036,4,2.1525,0.61,0.39,7.0
6007603902,"West Credit River : Binkham Esta Con 10 At Hwy 24,Erin Townshi",43.79540301,-80.06712911,12,1.7566666666666666,0.4,0.05,7.3
6007604002,"West Credit River : Upstr. Dundas St. Erin West Tributary,Erin Townshi",43.78910551,-80.05583911,8,1.96,0.74,0.31,6.4
6007604102,"West Credit River : Lot 15 Con 11 S. Of Cpr,  Erin Township",43.78480526,-80.05655111,9,1.7377777777777779,0.53,0.01,6.2
6007604202,West Credit River : Lot 13 Con 10 Erin Township,43.77452689,-80.04591173,11,1.0752727272727274,0.4,0.008,3.2
6007604302,"West Credit River : Lot 13 Con 11,  Erin Township",43.79582114,-80.01325361,11,1.2055909090909092,0.51,0.0045,3.1
6007604402,West Credit River : Dnstr. Belfound Dam Peel Region,43.79397426,-80.01065661,9,1.2516666666666665,0.62,0.005,2.9
6007604502,West Credit River : Upstr. Forks Of Credit Peel Region,43.79982501,-79.99712661,9,1.2751111111111113,0.88,0.006,2.9
6007604602,"West Credit River : Lot 18 Con 6 Town Of Caledon,Caledon Townshi",43.81852739,-80.06290148,4,1.8275,0.45499999999999996,0.3,6.1
6007604702,"West Credit River : Con 11 At Hwy. 24,  Caledon Township",43.81681676,-80.05799398,12,7.591666666666666,2.0,0.06,46.0
6007604902,"Credit River : Mineola Drive,  North Of Lakeshore Blvd.",43.55390414,-79.59936423,447,308.6575913422819,10.0,-2.7,32000.0
6007605002,Credit River : Mississauga Golf And Country Course,43.54919451,-79.63327273,5704,126.29424233818374,6.380000000000001,-21.1,15000.0
6007605102,"Shaw'S Creek : Mnr Trail,  Alton",43.85975964,-80.05739011,5981,62.34070846681156,5.1,-17.8,5351.0
6007605202,"East Credit River : Upstream Hwy 10,  North Of Inglewood",43.80982126,-79.92764911,6226,70.73577643350465,5.1,-18.0,5148.0
6008000102,Etobicoke Creek : Highway 2 Long Branch,43.58893614,-79.54637823,8213,213.9713713502983,5.3,-0.52,12941.0
6008000202,"Etobicoke Creek West : Derry Rd,  E. Of Dixie Rd,  Mississauga",43.67603001,-79.67343811,4178,259.301459071326,7.92,0.0,21634.0
6008000302,Etobicoke Creek : Burnhamthorpe Road Mississauga,43.63786214,-79.58571948,3375,191.44813525925926,4.1,-40.0,11800.0
