activity_datetime,characteristicname,count,mean,median,min,max,year,month,month_name
1965-12-31,Specific conductance,8,596.25,505.0,450.0,1000.0,1965,12,December
1965-12-31,"Temperature, water",2,3.25,3.25,1.5,5.0,1965,12,December
1965-12-31,"Total Phosphorus, mixed forms",13,5135.99,0.41,0.13,20654.0,1965,12,December
1966-01-31,Chloride,11,95.54545454545455,45.0,22.0,350.0,1966,1,January
1966-01-31,Dissolved oxygen (DO),3,12.0,11.9,11.1,13.0,1966,1,January
1966-01-31,Kjeldahl nitrogen,19,8.67315789473684,1.4,0.39,31.4,1966,1,January
1966-01-31,Specific conductance,9,597.5555555555555,575.0,490.0,830.0,1966,1,January
1966-01-31,"Temperature, water",3,1.5666666666666667,1.7,1.0,2.0,1966,1,January
1966-01-31,"Total Phosphorus, mixed forms",33,4905.394848484849,30.98,0.05,22941.0,1966,1,January
1966-02-28,Chloride,13,72.53846153846153,36.0,6.0,202.0,1966,2,February
1966-02-28,Dissolved oxygen (DO),3,10.833333333333334,11.0,8.0,13.5,1966,2,February
1966-02-28,Kjeldahl nitrogen,13,39.565384615384616,1.2,0.58,453.0,1966,2,February
1966-02-28,Specific conductance,9,662.6666666666666,611.0,370.0,1287.0,1966,2,February
1966-02-28,"Temperature, water",3,1.3333333333333333,0.0,0.0,4.0,1966,2,February
1966-02-28,"Total Phosphorus, mixed forms",13,1976.0923076923077,0.32,0.09,13137.0,1966,2,February
1966-03-31,Chloride,25,44.16,36.0,12.0,169.0,1966,3,March
1966-03-31,Dissolved oxygen (DO),11,11.363636363636363,12.0,9.0,12.0,1966,3,March
1966-03-31,Kjeldahl nitrogen,30,3.7036666666666664,1.98,0.58,17.5,1966,3,March
1966-03-31,Specific conductance,25,543.56,462.0,373.0,1042.0,1966,3,March
1966-03-31,"Temperature, water",11,1.7272727272727273,2.0,0.0,4.0,1966,3,March
1966-03-31,"Total Phosphorus, mixed forms",30,1101.861,0.31,0.11,11307.0,1966,3,March
1966-04-30,Chloride,13,40.69230769230769,30.0,16.0,116.0,1966,4,April
1966-04-30,Dissolved oxygen (DO),2,10.5,10.5,10.0,11.0,1966,4,April
1966-04-30,Kjeldahl nitrogen,13,7.3015384615384615,0.98,0.4,25.0,1966,4,April
1966-04-30,Specific conductance,6,507.0,513.5,441.0,552.0,1966,4,April
1966-04-30,"Temperature, water",1,3.7,3.7,3.7,3.7,1966,4,April
1966-04-30,"Total Phosphorus, mixed forms",19,1355.5547368421053,0.29,0.05,11765.0,1966,4,April
